,State,Party,Name
201,NY,Republican,Katko
202,MA,Democratic,Keating
203,PA,Republican,Keller
204,IL,Democratic,Kelly (IL)
205,MS,Republican,Kelly (MS)
206,PA,Republican,Kelly (PA)
207,MA,Democratic,Kennedy
208,CA,Democratic,Khanna
209,MI,Democratic,Kildee
210,WA,Democratic,Kilmer
211,NJ,Democratic,Kim
212,WI,Democratic,Kind
213,IA,Republican,King (IA)
214,NY,Republican,King (NY)
215,IL,Republican,Kinzinger
216,AZ,Democratic,Kirkpatrick
217,IL,Democratic,Krishnamoorthi
218,NH,Democratic,Kuster (NH)
219,TN,Republican,Kustoff (TN)
220,IL,Republican,LaHood
221,CA,Republican,LaMalfa
222,PA,Democratic,Lamb
223,CO,Republican,Lamborn
224,RI,Democratic,Langevin
225,WA,Democratic,Larsen (WA)
226,CT,Democratic,Larson (CT)
227,OH,Republican,Latta
228,MI,Democratic,Lawrence
229,FL,Democratic,Lawson (FL)
230,CA,Democratic,Lee (CA)
231,NV,Democratic,Lee (NV)
232,AZ,Republican,Lesko
233,CA,Democratic,Levin (CA)
234,MI,Democratic,Levin (MI)
235,GA,Democratic,Lewis
236,CA,Democratic,"Lieu, Ted"
237,IL,Democratic,Lipinski
238,IA,Democratic,Loebsack
239,CA,Democratic,Lofgren
240,MO,Republican,Long
241,GA,Republican,Loudermilk
242,CA,Democratic,Lowenthal
243,NY,Democratic,Lowey
244,OK,Republican,Lucas
245,MO,Republican,Luetkemeyer
246,NM,Democratic,Lujan
247,VA,Democratic,Luria
248,MA,Democratic,Lynch
249,NJ,Democratic,Malinowski
250,NY,Democratic,"Maloney, Carolyn B."
251,NY,Democratic,"Maloney, Sean"
252,TX,Republican,Marchant
253,KS,Republican,Marshall
254,KY,Republican,Massie
255,FL,Republican,Mast
256,CA,Democratic,Matsui
257,UT,Democratic,McAdams
258,GA,Democratic,McBath
259,CA,Republican,McCarthy
260,TX,Republican,McCaul
261,CA,Republican,McClintock
262,MN,Democratic,McCollum
263,VA,Democratic,McEachin
264,MA,Democratic,McGovern
265,NC,Republican,McHenry
266,WV,Republican,McKinley
267,CA,Democratic,McNerney
268,NC,Republican,Meadows
269,NY,Democratic,Meeks
270,NY,Democratic,Meng
271,PA,Republican,Meuser
272,MD,Democratic,Mfume
273,WV,Republican,Miller
274,MI,Independent,Mitchell
275,MI,Republican,Moolenaar
276,WV,Republican,Mooney (WV)
277,WI,Democratic,Moore
278,NY,Democratic,Morelle
279,MA,Democratic,Moulton
280,FL,Democratic,Mucarsel-Powell
281,OK,Republican,Mullin
282,FL,Democratic,Murphy (FL)
283,NC,Republican,Murphy (NC)
284,NY,Democratic,Nadler
285,CA,Democratic,Napolitano
286,MA,Democratic,Neal
287,CO,Democratic,Neguse
288,WA,Republican,Newhouse
289,NJ,Democratic,Norcross
290,SC,Republican,Norman
291,DC,Democratic,Norton
292,CA,Republican,Nunes
293,AZ,Democratic,O'Halleran
294,NY,Democratic,Ocasio-Cortez
295,TX,Republican,Olson
296,MN,Democratic,Omar
297,MS,Republican,Palazzo
298,NJ,Democratic,Pallone
299,AL,Republican,Palmer
300,CA,Democratic,Panetta
301,NH,Democratic,Pappas
302,NJ,Democratic,Pascrell
303,NJ,Democratic,Payne
304,CA,Democratic,Pelosi
305,IN,Republican,Pence
306,CO,Democratic,Perlmutter
307,PA,Republican,Perry
308,CA,Democratic,Peters
309,MN,Democratic,Peterson
310,MN,Democratic,Phillips
311,ME,Democratic,Pingree
312,VI,Democratic,Plaskett
313,WI,Democratic,Pocan
314,CA,Democratic,Porter
315,FL,Republican,Posey
316,MA,Democratic,Pressley
317,NC,Democratic,Price (NC)
318,IL,Democratic,Quigley
319,AS,Republican,Radewagen
320,MD,Democratic,Raskin
321,TX,Republican,Ratcliffe
322,NY,Republican,Reed
323,PA,Republican,Reschenthaler
324,NY,Democratic,Rice (NY)
325,SC,Republican,Rice (SC)
326,LA,Democratic,Richmond
327,VA,Republican,Riggleman
328,AL,Republican,Roby
329,WA,Republican,Rodgers (WA)
330,TN,Republican,"Roe, David P."
331,AL,Republican,Rogers (AL)
332,KY,Republican,Rogers (KY)
333,FL,Republican,Rooney (FL)
334,NY,Democratic,Rose (NY)
335,TN,Republican,"Rose, John W."
336,CA,Democratic,Rouda
337,NC,Republican,Rouzer
338,TX,Republican,Roy
339,CA,Democratic,Roybal-Allard
340,CA,Democratic,Ruiz
341,MD,Democratic,Ruppersberger
342,IL,Democratic,Rush
343,FL,Republican,Rutherford
344,OH,Democratic,Ryan
345,MP,Democratic,Sablan
346,GU,Democratic,San Nicolas
347,CA,Democratic,Sanchez
348,MD,Democratic,Sarbanes
349,LA,Republican,Scalise
350,PA,Democratic,Scanlon
351,IL,Democratic,Schakowsky
352,CA,Democratic,Schiff
353,IL,Democratic,Schneider
354,OR,Democratic,Schrader
355,WA,Democratic,Schrier
356,AZ,Republican,Schweikert
357,VA,Democratic,Scott (VA)
358,GA,Republican,"Scott, Austin"
359,GA,Democratic,"Scott, David"
360,WI,Republican,Sensenbrenner
361,NY,Democratic,Serrano
362,AL,Democratic,Sewell (AL)
363,FL,Democratic,Shalala
364,CA,Democratic,Sherman
365,NJ,Democratic,Sherrill
366,IL,Republican,Shimkus
367,ID,Republican,Simpson
368,NJ,Democratic,Sires
369,MI,Democratic,Slotkin
370,MO,Republican,Smith (MO)
371,NE,Republican,Smith (NE)
372,NJ,Republican,Smith (NJ)
373,WA,Democratic,Smith (WA)
374,PA,Republican,Smucker
375,FL,Democratic,Soto
376,VA,Democratic,Spanberger
377,FL,Republican,Spano
378,CA,Democratic,Speier
379,AZ,Democratic,Stanton
380,MN,Republican,Stauber
381,NY,Republican,Stefanik
382,WI,Republican,Steil
383,FL,Republican,Steube
384,MI,Democratic,Stevens
385,UT,Republican,Stewart
386,OH,Republican,Stivers
387,NY,Democratic,Suozzi
388,CA,Democratic,Swalwell (CA)
389,CA,Democratic,Takano
390,TX,Republican,Taylor
391,CA,Democratic,Thompson (CA)
392,MS,Democratic,Thompson (MS)
393,PA,Republican,Thompson (PA)
394,TX,Republican,Thornberry
395,WI,Republican,Tiffany
396,SC,Republican,Timmons
397,CO,Republican,Tipton
398,NV,Democratic,Titus
399,MI,Democratic,Tlaib
400,NY,Democratic,Tonko
401,CA,Democratic,Torres (CA)
402,NM,Democratic,Torres Small (NM)
403,MA,Democratic,Trahan
404,MD,Democratic,Trone
405,OH,Republican,Turner
406,IL,Democratic,Underwood
407,MI,Republican,Upton
408,NJ,Republican,Van Drew
409,CA,Democratic,Vargas
410,TX,Democratic,Veasey
411,TX,Democratic,Vela
412,NY,Democratic,Velazquez
413,IN,Democratic,Visclosky
414,MO,Republican,Wagner
415,MI,Republican,Walberg
416,OR,Republican,Walden
417,NC,Republican,Walker
418,IN,Republican,Walorski
419,FL,Republican,Waltz
420,FL,Democratic,Wasserman Schultz
421,CA,Democratic,Waters
422,KS,Republican,Watkins
423,NJ,Democratic,Watson Coleman
424,TX,Republican,Weber (TX)
425,FL,Republican,Webster (FL)
426,VT,Democratic,Welch
427,OH,Republican,Wenstrup
428,AR,Republican,Westerman
429,VA,Democratic,Wexton
430,PA,Democratic,Wild
431,TX,Republican,Williams
432,FL,Democratic,Wilson (FL)
433,SC,Republican,Wilson (SC)
434,VA,Republican,Wittman
435,AR,Republican,Womack
436,GA,Republican,Woodall
437,TX,Republican,Wright
438,KY,Democratic,Yarmuth
439,FL,Republican,Yoho
440,AK,Republican,Young
441,NY,Republican,Zeldin
