McGovern;100;100;100;MA
Trahan;100;nan;nan;MA
Kennedy;100;100;100;MA
Clark;100;100;100;MA
Moulton;100;100;100;MA
Pressley;100;nan;nan;MA
Lynch;100;100;100;MA
Keating;100;100;100;MA
Bergman;0;25;nan;MI
Huizenga;0;0;0;MI
Amash;7;25;64;MI
Moolenaar;0;0;0;MI
Kildee;100;100;100;MI
Upton;42;15;48;MI
Walberg;0;0;0;MI
Slotkin;100;nan;nan;MI
Levin;100;nan;nan;MI
Mitchell;0;0;nan;MI
Stevens;100;nan;nan;MI
Dingell;100;100;100;MI
Tlaib;100;nan;nan;MI
Lawrence;100;100;96;MI
Hagedorn;0;nan;nan;MN
Craig;100;nan;nan;MN
Phillips;100;nan;nan;MN
McCollum;100;100;100;MN
Omar;100;nan;nan;MN
Emmer;0;0;48;MN
Peterson;52;67;80;MN
Stauber;7;nan;nan;MN
Kelly;0;0;0;MS
Thompson;100;100;80;MS
Guest;0;nan;nan;MS
Palazzo;0;0;0;MS
Clay Jr.;100;100;100;MO
Wagner;7;0;0;MO
Luetkemeyer;0;0;0;MO
Hartzler;0;0;0;MO
Cleaver;97;76;86;MO
Graves;0;0;0;MO
Long;0;0;0;MO
Smith;0;0;0;MO
Gianforte;0;0;nan;MT
Fortenberry;0;0;0;NE
Bacon;7;0;nan;NE
Smith;0;0;0;NE
Titus;100;100;100;NV
Amodei;0;18;0;NV
Lee;97;nan;nan;NV
Horsford;100;nan;nan;NV
Pappas;100;nan;nan;NH
Kuster;100;100;100;NH
Norcross;100;100;100;NJ
Van Drew;78;nan;nan;NJ
Kim;100;nan;nan;NJ
Smith;17;15;0;NJ
Gottheimer;100;100;nan;NJ
Pallone Jr.;100;100;100;NJ
Malinowski;100;nan;nan;NJ
Sires;100;100;100;NJ
Pascrell Jr.;100;100;100;NJ
Payne Jr.;100;100;88;NJ
Sherrill;100;nan;nan;NJ
Watson Coleman;100;100;100;NJ
Haaland;100;nan;nan;NM
Torres Small;91;nan;nan;NM
Luján;100;100;100;NM
Zaldin;7;3;48;NY
King;17;3;4;NY
Suozzi;100;100;nan;NY
Rice;100;100;100;NY
Meeks;100;97;100;NY
Meng;100;100;100;NY
Velázquez;100;100;100;NY
Jeffries;100;100;100;NY
Clarke;100;100;96;NY
Nadler;100;100;100;NY
Rose;100;nan;nan;NY
Maloney;100;100;100;NY
Espaillat;100;100;nan;NY
Ocasio-Cortez;100;nan;nan;NY
Serrano;100;100;100;NY
Engel;100;100;100;NY
Lowey;100;100;100;NY
Maloney;100;100;100;NY
Delgado;100;nan;nan;NY
Tonko;100;100;100;NY
Stefanik;40;46;48;NY
Brindisi;88;nan;nan;NY
